show_a,show_b,cosine_similarity
Alex Ortiz,Rodrigo González,0.47460437234288166
Edo Caroe,Memo Bunke y Natalia Cuevas,0.4745128223998302
Fabrizio Copano,Natalia Valdebenito,0.47443904893260547
"Daniel Muñoz ""El Carmelo""",Stefan Kramer,0.47435037293493704
Sandy,Óscar Gangas,0.4740832689338725
Millenium Show,Rodrigo Villegas,0.473425843782778
Huaso Filomeno,Luis Slimming,0.4729771182341451
Jorge Alís,Juan Pablo López,0.47288429192519477
Arturo Ruiz-Tagle,Hugo Varela,0.4726233820587416
Huaso Filomeno,Memo Bunke y Natalia Cuevas,0.4725770581858404
Fabrizio Copano,Álvaro Salas,0.47236981565223674
Centella,Los Locos del Humor,0.4720729778260848
Memo Bunke y Natalia Cuevas,Rodrigo Villegas,0.47190508193556807
Diego Urrutia,Rodrigo Villegas,0.4708898040675657
Los Indolatinos,Álvaro Salas,0.47008743509452855
Huaso Filomeno,Juan Pablo López,0.46992379178128624
Sergio Freire,Stefan Kramer,0.4696261653535535
Edo Caroe,Payahop,0.46954344293746647
Los Atletas de la Risa,Los Indolatinos,0.46932368628616017
Centella,Sergio Freire,0.4683112614551305
Luis Slimming,Pedro Ruminot,0.46667002498433285
Fabrizio Copano,Stefan Kramer,0.46629850016551555
Los Locos del Humor,Mauricio Palma,0.4656471031184189
Hermógenes Conache,Sandy,0.4653027050259224
Edo Caroe,"Juan Luis ""Jajá"" Calderón",0.46474262156387436
"Jorge ""Chino"" Navarrete",Pancho del Sur,0.46335386055951383
Palta Meléndez,Sandy,0.4626925307159434
Memo Bunke y Natalia Cuevas,Ruperto,0.4616351021376239
Fusión Humor,Rodrigo Villegas,0.4615061933893796
Luis Slimming,Melón y Melame,0.46102155434541575
Dino Gordillo,Ricardo Meruane,0.4607039380064386
Jani Dueñas,Palta Meléndez,0.4604589213582206
El Pampero,Hermógenes Conache,0.46038655886846747
Diego Urrutia,Gloria Benavides,0.46017317762831034
León Murillo,Lucho Miranda,0.4600170054186586
