decade,topic_id,weighted_mass,decade_mass,prevalence_pct,topic_name
1980,4,0.4789575845013327,15.980322789703056,2.9971709007652194,4_chileno_chile_argentino_chilenos
1980,7,2.2613675723352156,15.980322789703056,14.150950528936319,7_vieja_suegra_abuela_abuelita
1980,9,3.1381848121529314,15.980322789703056,19.637806153546695,9_auto_dijo dijo_micro_carabineros
1980,10,0.2027732514898014,15.980322789703056,1.268893339378968,10_maestro_hora hora_ruperto_hora
1980,12,1.5714918573515677,15.980322789703056,9.833918113119472,12_perro_perrito_selva_lobo
1980,13,2.4100313689645465,15.980322789703056,15.081243355844187,13_ay ay_salta salta_salta_ay
1980,14,2.0885247436331573,15.980322789703056,13.069352672768922,14_ho_ho ho_aplauso_muchas
1980,19,1.5203579333470207,15.980322789703056,9.513937567810993,19_través_mar_viña_viña mar
1980,21,0.1751159346177959,15.980322789703056,1.0958222616794207,21_buenas noches_noches_buenas_pecadora
1980,29,1.0921535937463183,15.980322789703056,6.834365038296029,29_reggaeton_calmado_dale_ten
1990,0,1.4364616460038155,115.7721637313552,1.2407660008299308,0_presidente_país_huevón_pesos
1990,1,5.8572158072554075,115.7721637313552,5.059260895258768,1_canción_almas_cantar_vivo vivo
1990,2,4.056164450390019,115.7721637313552,3.503574883339134,2_chiste_programa_hoy hoy_chistes
1990,4,9.687817465690802,115.7721637313552,8.368002422560751,4_chileno_chile_argentino_chilenos
1990,5,3.540952640585292,115.7721637313552,3.058552700804603,5_colegio_niños_papá_hijo
1990,7,4.411918103248999,115.7721637313552,3.810862612438239,7_vieja_suegra_abuela_abuelita
1990,8,7.630751598338496,115.7721637313552,6.591179910954552,8_anthony_amas_your_you
1990,9,5.627321659636554,115.7721637313552,4.860686263663979,9_auto_dijo dijo_micro_carabineros
1990,10,5.792871636829388,115.7721637313552,5.00368262121413,10_maestro_hora hora_ruperto_hora
1990,11,0.591486708518932,115.7721637313552,0.5109058079725053,11_hijos_mamá_papá_hijo
1990,12,8.921716922260568,115.7721637313552,7.706271209513769,12_perro_perrito_selva_lobo
1990,13,12.377313112964403,115.7721637313552,10.691095954365572,13_ay ay_salta salta_salta_ay
1990,14,6.990976295164713,115.7721637313552,6.038564081247546,14_ho_ho ho_aplauso_muchas
1990,15,0.8393768506047333,115.7721637313552,0.7250247585874567,15_hombres_mujeres_mujer_hombre
1990,16,2.296931771429503,115.7721637313552,1.9840104023273193,16_comida_comer_dieta_mamá
1990,18,2.0348121642310018,115.7721637313552,1.7576005307741367,18_doctor_farmacia_examen_consulta
1990,19,7.093817849190828,115.7721637313552,6.127395066789765,19_través_mar_viña_viña mar
1990,20,3.0,115.7721637313552,2.591296476898698,20_hermana_fea_curado_marihuana
1990,21,6.045274372278508,115.7721637313552,5.2216993942570955,21_buenas noches_noches_buenas_pecadora
1990,23,4.7217522400859755,115.7721637313552,4.078486648174441,23_amante_marido_mujer_matrimonio
1990,24,2.8029141047859243,115.7721637313552,2.4210604815938113,24_amor_dije_pa_pa pa
1990,25,4.0,115.7721637313552,3.4550619691982645,25_bailar_fiesta_bailemos_baile
1990,26,1.0,115.7721637313552,0.8637654922995661,26_celular_pegado_teléfono_whatsapp
1990,27,2.638090871316824,115.7721637313552,2.278691860193968,27_soltera_bebé_arturo vidal_tinder
1990,28,0.829659557374575,115.7721637313552,0.7166312960166898,28_puta puta_noticias_puta_ta
1990,29,1.5465659031699444,115.7721637313552,1.33587025872531,29_reggaeton_calmado_dale_ten
2000,0,6.172194829822113,194.8788044939742,3.167196579355536,0_presidente_país_huevón_pesos
2000,1,16.965198555241486,194.8788044939742,8.70551243337808,1_canción_almas_cantar_vivo vivo
2000,2,9.56648730880448,194.8788044939742,4.908941910663395,2_chiste_programa_hoy hoy_chistes
2000,4,5.160173590621369,194.8788044939742,2.6478885705504855,4_chileno_chile_argentino_chilenos
2000,5,4.707192988261447,194.8788044939742,2.4154463593330373,5_colegio_niños_papá_hijo
2000,7,13.893405542871175,194.8788044939742,7.129254296765131,7_vieja_suegra_abuela_abuelita
2000,8,11.36138454267094,194.8788044939742,5.829974466526575,8_anthony_amas_your_you
2000,9,8.739225905922156,194.8788044939742,4.484441460226825,9_auto_dijo dijo_micro_carabineros
2000,10,16.017467364922613,194.8788044939742,8.21919418405396,10_maestro_hora hora_ruperto_hora
2000,11,0.5390167981226254,194.8788044939742,0.27659077626335304,11_hijos_mamá_papá_hijo
2000,12,14.546913449336301,194.8788044939742,7.464594975892365,12_perro_perrito_selva_lobo
2000,13,11.906761108518086,194.8788044939742,6.109828690418846,13_ay ay_salta salta_salta_ay
2000,14,6.479911739316446,194.8788044939742,3.3250982610152504,14_ho_ho ho_aplauso_muchas
2000,15,10.710898561891588,194.8788044939742,5.496184456644066,15_hombres_mujeres_mujer_hombre
2000,16,3.181573792136485,194.8788044939742,1.6325909841236026,16_comida_comer_dieta_mamá
2000,18,8.026082495299645,194.8788044939742,4.118499452077569,18_doctor_farmacia_examen_consulta
2000,19,2.039714359085157,194.8788044939742,1.0466578776391389,19_través_mar_viña_viña mar
2000,20,5.257332728601899,194.8788044939742,2.6977447559026153,20_hermana_fea_curado_marihuana
2000,21,8.182713268781324,194.8788044939742,4.198872878981737,21_buenas noches_noches_buenas_pecadora
2000,23,4.51680461773279,194.8788044939742,2.317750578089395,23_amante_marido_mujer_matrimonio
2000,24,5.3812374458139995,194.8788044939742,2.7613251527209526,24_amor_dije_pa_pa pa
2000,25,4.344656632233038,194.8788044939742,2.2294146577481584,25_bailar_fiesta_bailemos_baile
2000,26,5.0,194.8788044939742,2.5656971844542507,26_celular_pegado_teléfono_whatsapp
2000,27,7.971904272712683,194.8788044939742,4.090698469447548,27_soltera_bebé_arturo vidal_tinder
2000,28,2.0,194.8788044939742,1.0262788737817004,28_puta puta_noticias_puta_ta
2000,29,2.2105525952543488,194.8788044939742,1.134321713946424,29_reggaeton_calmado_dale_ten
2010,0,22.705464672695662,362.24661753040385,6.267957676869118,0_presidente_país_huevón_pesos
2010,1,7.794363063841695,362.24661753040385,2.1516731107054445,1_canción_almas_cantar_vivo vivo
2010,2,19.04108404777074,362.24661753040385,5.256386982322229,2_chiste_programa_hoy hoy_chistes
2010,4,15.63551491903619,362.24661753040385,4.316262502499111,4_chileno_chile_argentino_chilenos
2010,5,10.341258439195355,362.24661753040385,2.854756383840465,5_colegio_niños_papá_hijo
2010,7,28.796378279070307,362.24661753040385,7.949385000579996,7_vieja_suegra_abuela_abuelita
2010,8,2.389115362567051,362.24661753040385,0.6595273073506419,8_anthony_amas_your_you
2010,9,12.368214189182547,362.24661753040385,3.41430770934513,9_auto_dijo dijo_micro_carabineros
2010,10,9.287147658493092,362.24661753040385,2.5637638031812977,10_maestro_hora hora_ruperto_hora
2010,11,9.40626766803809,362.24661753040385,2.5966474807038353,11_hijos_mamá_papá_hijo
2010,12,10.614660405255544,362.24661753040385,2.9302303711268305,12_perro_perrito_selva_lobo
