show_a,show_b,cosine_similarity
"Jorge ""Chino"" Navarrete","Paul Vásquez ""El Flaco""",0.5646254907803996
Dinamita Show,Felipe Avello,0.5627844765809353
Ernesto Belloni,Zip-Zup,0.5620701596309741
Alex Ortiz,"Daniela ""Chiqui"" Aguayo",0.5609501264941238
Alex Ortiz,Javiera Contador,0.5605425503116559
Jorge Romero,Rodrigo Villegas,0.5598066392196857
Belén Mora,Edo Caroe,0.5592731853790955
Diego Urrutia,El Pampero,0.5586538448379685
Gloria Benavides,Memo Bunke y Natalia Cuevas,0.5584352478740668
"Daniel Muñoz ""El Carmelo""",Lucho Navarro,0.5581443394220368
Hugo Goodman,Los Acetatos,0.5558166284203108
Alison Mandel,Javiera Contador,0.5554684004483164
Bombo Fica,Juan Pablo López,0.5550966228846486
Felo,Rudy Rey,0.5549671470692514
Carlos García,Lucho Navarro,0.5549213276103558
Rodrigo Villegas,Rudy Rey,0.5549212267815489
Lucho Miranda,Stefan Kramer,0.5548671271612591
Coco Legrand,Dino Gordillo,0.5545871752076589
"Daniel Muñoz ""El Carmelo""",Payahop,0.5538725240413853
Carlos García,Los Acetatos,0.5533006403154942
Arturo Ruiz-Tagle,Gigi Martin,0.5527715582688578
Fabrizio Copano,Palta Meléndez,0.5520829941896803
Hermógenes Conache,Zip-Zup,0.5518993026211594
Juan Pablo López,Zip-Zup,0.551460360612464
Los Locos del Humor,Rodrigo González,0.5509748021963398
Centella,Hermógenes Conache,0.5501732370729912
Edo Caroe,Pedro Ruminot,0.5480998241333483
Diego Urrutia,Dino Gordillo,0.5476052742582025
Fabrizio Copano,Rodrigo González,0.547572315388764
Hugo Goodman,Stefan Kramer,0.5472721389078988
Dinamita Show,Millenium Show,0.5472456792483291
Dinamita Show,Melón y Melame,0.5465866508219105
Hugo Varela,Piña Colada,0.5464977132720954
Juan Pablo López,Luis Slimming,0.545892797681416
Diego Urrutia,Rodrigo González,0.5458811227011339
Los Locos del Humor,Pujillay,0.5458294832310854
Edo Caroe,Fusión Humor,0.5457381692310617
Los Indolatinos,"Paul Vásquez ""El Flaco""",0.5452988370911303
Diego Urrutia,Lucho Miranda,0.5441045553030572
"Paul Vásquez ""El Flaco""",Rodrigo Villegas,0.5439098820274602
Gigi Martin,Julio Sabala,0.543813205832993
Coco Legrand,Zip-Zup,0.5431083033584504
Rodrigo González,Álvaro Salas,0.542539236107168
Fabrizio Copano,"Juan Luis ""Jajá"" Calderón",0.542525487394636
Coco Legrand,Sergio Freire,0.5421841581383335
Bombo Fica,Álvaro Salas,0.5413470954822506
Centella,Lucho Miranda,0.541186056987831
Alex Ortiz,Lucho Miranda,0.5403959124504667
Bombo Fica,Pujillay,0.5397426488691819
Coco Legrand,Palta Meléndez,0.5395205872772987
Diego Urrutia,Huaso Filomeno,0.5393244889209882
Dino Gordillo,Fabrizio Copano,0.5388517680000152
Juan Pablo López,Lucho Miranda,0.5387693706572086
Arturo Ruiz-Tagle,"Jorge ""Chino"" Navarrete",0.538161391039154
Bastián Paz,Dinamita Show,0.5380465609625578
Alex Ortiz,Luis Slimming,0.5369340653992285
Diego Urrutia,Fusión Humor,0.5368220610631463
Coco Legrand,Óscar Gangas,0.5364493139453848
Centella,Sandy,0.5364414496447173
León Murillo,Palta Meléndez,0.5357725930520663
León Murillo,Ricardo Meruane,0.5347483635894649
Dino Gordillo,"Juan Luis ""Jajá"" Calderón",0.5342652029871453
El Pampero,Sergio Freire,0.5339584899657424
Edmundo Arrocet,Natalia Cuevas,0.5333249617672666
Fabrizio Copano,Felo,0.533182117610488
"Carlos ""El Mono"" Sánchez",Melón y Melame,0.5327083357875886
Coco Legrand,Álvaro Salas,0.5323870214114251
Fabrizio Copano,Juan Pablo López,0.5317138608181541
Arturo Ruiz-Tagle,Fusión Humor,0.5315231636768324
"Daniela ""Chiqui"" Aguayo",Rodrigo González,0.5313684668331642
"Carlos ""El Mono"" Sánchez",Jenny Cavallo,0.5303972955571589
Arturo Ruiz-Tagle,"Paul Vásquez ""El Flaco""",0.5300817309767502
Coco Legrand,Los Locos del Humor,0.5296310320871195
Hermógenes Conache,Juan Pablo López,0.5295696786838023
Bombo Fica,Sergio Freire,0.5292382636320757
Lucho Navarro,Rodrigo Villegas,0.5291953972414155
Millenium Show,Rudy Rey,0.5265185075341199
Coco Legrand,Pamela Leiva,0.5262480808560663
Huaso Filomeno,Álvaro Salas,0.5259449212783145
Gigi Martin,Los Acetatos,0.5245021921610222
Alejandra Azcárate,Jani Dueñas,0.5234333077028989
Diego Urrutia,Los Locos del Humor,0.5224482034294999
Arturo Ruiz-Tagle,Millenium Show,0.522002630288579
"Jorge ""Chino"" Navarrete",Stefan Kramer,0.521351013082762
Los Locos del Humor,Melón y Melame,0.5213012989761124
Fabrizio Copano,Luis Slimming,0.5212560194620209
Los Indolatinos,Piña Colada,0.521218695075855
Dinamita Show,Sandy,0.5209280315503234
Los Indolatinos,Pamela Leiva,0.5199992701054631
Hugo Varela,Jappening con ja,0.5197636850115165
Julio Sabala,Natalia Cuevas,0.5192872525772078
Bombo Fica,Jorge Alís,0.5190298669657896
Fusión Humor,Rodrigo González,0.5188532588484361
Coco Legrand,Hermógenes Conache,0.518728031330983
Arturo Ruiz-Tagle,Rodrigo Villegas,0.5186858303823921
"Juan Luis ""Jajá"" Calderón",Luis Slimming,0.5177404644763831
Felo,Hugo Varela,0.5174726785979785
"Juan Luis ""Jajá"" Calderón",León Murillo,0.5167664687135071
Ernesto Belloni,Hermógenes Conache,0.5165652806058931
Coco Legrand,Fabrizio Copano,0.5162495642365809
Jorge Romero,Julio Sabala,0.515458855774958
Gloria Benavides,Julio Sabala,0.5153890814688685
Lucho Miranda,Óscar Gangas,0.5152300948633113
Hugo Goodman,Lucho Miranda,0.5151818044600585
Arturo Ruiz-Tagle,Pedro Ruminot,0.5146924505478302
Mauricio Palma,Payahop,0.5144780510567428
Payahop,Rudy Rey,0.5140585118002452
Los Indolatinos,Los Locos del Humor,0.5133674131145449
Los Indolatinos,Rodrigo Villegas,0.5131397872581638
Jorge Alís,Palta Meléndez,0.5130275265767703
"Carlos ""El Mono"" Sánchez",Gigi Martin,0.5126074165063059
Coco Legrand,Stefan Kramer,0.5123593650761833
Coco Legrand,Los Atletas de la Risa,0.5120478540121354
"Daniela ""Chiqui"" Aguayo",Jenny Cavallo,0.5118995900572488
Centella,"Jorge ""Chino"" Navarrete",0.5114333107924481
Juan Pablo López,Óscar Gangas,0.511240607620626
Edo Caroe,Sergio Freire,0.5111703143558674
Hermógenes Conache,Los Indolatinos,0.5104742726773096
Coco Legrand,Natalia Valdebenito,0.510215136094504
Diego Urrutia,Fabrizio Copano,0.5098499868977212
Natalia Cuevas,Natalia Valdebenito,0.5095646294238619
Ernesto Belloni,Lucho Navarro,0.5095318307506855
Edmundo Arrocet,Gloria Benavides,0.5074686409558782
Huaso Filomeno,Rodrigo González,0.5064025373405596
Dinamita Show,Dino Gordillo,0.506328897163359
Julio Sabala,Rudy Rey,0.5057982567759021
Huaso Filomeno,Pujillay,0.5051004646059557
Diego Urrutia,Óscar Gangas,0.5048632819460245
Carlos García,Hugo Varela,0.5046132725098906
Ricardo Meruane,Stefan Kramer,0.504512880133211
Diego Urrutia,Payahop,0.5040193743412856
Millenium Show,Sandy,0.5035298447939107
Javiera Contador,Melón y Melame,0.5026988081093421
Alison Mandel,Jani Dueñas,0.5020946227208131
Dinamita Show,Ruperto,0.5016660170869846
Paulo Iglesias,Sergio Freire,0.5007739496686042
Hermógenes Conache,"Paul Vásquez ""El Flaco""",0.5002300250423114
Carlos García,Diego Urrutia,0.4993544548072083
Carlos García,Los Indolatinos,0.4988072051070196
Coco Legrand,Edo Caroe,0.4980640728192283
Diego Urrutia,Zip-Zup,0.49793675216989997
Felo,Gloria Benavides,0.49651834529537414
Profesor Salomón y Tutu-Tutu,Rodrigo Villegas,0.4963688838072974
Bombo Fica,Rodrigo González,0.49618047951566374
Bastián Paz,Jani Dueñas,0.49596675894904335
Los Atletas de la Risa,Rodrigo Villegas,0.4945035396698732
Hermógenes Conache,Pedro Ruminot,0.4943820630950675
Gilberto Gless,Natalia Cuevas,0.4935546394392578
Piña Colada,Rudy Rey,0.4933131855314821
Fusión Humor,Melón y Melame,0.4928328859990904
Los Acetatos,Rudy Rey,0.4923055463893936
Jani Dueñas,Palta Meléndez,0.49222681976841215
Felo,Rodrigo Villegas,0.4919071731076699
Felo,Gilberto Gless,0.4915069023279367
Lucho Navarro,Ruperto,0.49085327572309523
Arturo Ruiz-Tagle,Bastián Paz,0.4902899060433701
"Daniela ""Chiqui"" Aguayo",Jani Dueñas,0.49000114743119744
Dino Gordillo,Huaso Filomeno,0.48965584548602603
Bombo Fica,"Paul Vásquez ""El Flaco""",0.48898821815635385
Jappening con ja,Ruperto,0.4889786220903718
Zip-Zup,Óscar Gangas,0.4883091613905711
Lucho Navarro,Payahop,0.4873558236773775
Fusión Humor,Óscar Gangas,0.4848813193077558
Luis Slimming,Sergio Freire,0.48422721200032226
"Daniela ""Chiqui"" Aguayo",Natalia Valdebenito,0.48378757038059483
Rodrigo González,Stefan Kramer,0.48304005071414197
Edo Caroe,Javiera Contador,0.4825235292203781
Carlos García,Rodrigo Villegas,0.4814660547340145
Fabrizio Copano,Óscar Gangas,0.48116079692416575
Dino Gordillo,Óscar Gangas,0.4797936552059212
Fusión Humor,Sergio Freire,0.47944069504051484
Fabrizio Copano,Pujillay,0.4789458186639797
Arturo Ruiz-Tagle,Ruperto,0.47889999656517745
Dino Gordillo,Rodrigo González,0.4782824725722108
Belén Mora,Javiera Contador,0.47770842065491886
Felo,Lucho Navarro,0.47662212542457333
Ricardo Meruane,Sergio Freire,0.4761290970697973
Bastián Paz,Dino Gordillo,0.4751968034804532
Huaso Filomeno,"Jorge ""Chino"" Navarrete",0.47500421706891816
Arturo Ruiz-Tagle,Álvaro Salas,0.47486399967371484
Bombo Fica,Los Indolatinos,0.4745390725792381
Gloria Benavides,Memo Bunke,0.4738544552984984
Dino Gordillo,Luis Slimming,0.47365767620086174
Jenny Cavallo,Memo Bunke y Natalia Cuevas,0.47308629190365614
Gloria Benavides,Los Acetatos,0.47302201030226965
Dino Gordillo,Álvaro Salas,0.47302077091351163
Pedro Ruminot,Óscar Gangas,0.472771154047353
Juan Pablo López,Los Indolatinos,0.47257954289837234
Dinamita Show,Álvaro Salas,0.47257775159709836
Gloria Benavides,Ruperto,0.4719069661498077
Hugo Varela,Memo Bunke,0.4714205860250269
Ernesto Belloni,León Murillo,0.47122195322349475
"Juan Luis ""Jajá"" Calderón",Ricardo Meruane,0.4711061730172495
Juan Pablo López,Rodrigo Villegas,0.47066021329084134
"Daniel Muñoz ""El Carmelo""",Jani Dueñas,0.46889416182975485
"Jorge ""Chino"" Navarrete",Los Indolatinos,0.46828734289375
Bombo Fica,Palta Meléndez,0.468159897902347
Jorge Alís,Óscar Gangas,0.4674363628715141
Rodrigo González,Rodrigo Villegas,0.46721438760708317
Bastián Paz,Fusión Humor,0.46630096375513364
Jorge Alís,Sandy,0.4662424018459103
Juan Pablo López,Stefan Kramer,0.46561255096996645
Edmundo Arrocet,Profesor Salomón y Tutu-Tutu,0.46557282566723235
Hermógenes Conache,Óscar Gangas,0.46540927374170826
Felo,Gigi Martin,0.4653836761196982
Javiera Contador,Natalia Cuevas,0.46534069804331263
Fabrizio Copano,Fusión Humor,0.4645197287681523
Bastián Paz,Palta Meléndez,0.4642904725576173
Dino Gordillo,Hugo Varela,0.46399646440236125
"Daniela ""Chiqui"" Aguayo",Edo Caroe,0.4595047147817182
Edmundo Arrocet,Payahop,0.45908676531353776
Dino Gordillo,El Pampero,0.4587807317097314
Palta Meléndez,Sergio Freire,0.4587688556524195
Coco Legrand,Rodrigo González,0.4585558533773405
León Murillo,Sandy,0.4585430015381699
Fabrizio Copano,Jorge Alís,0.4584506331934869
Juan Pablo López,Álvaro Salas,0.4576438486331644
"Jorge ""Chino"" Navarrete",Álvaro Salas,0.45730301435149695
Bastián Paz,Millenium Show,0.45617667528689254
Bombo Fica,Rodrigo Villegas,0.4556489288109587
El Pampero,Zip-Zup,0.45561434942277923
Dinamita Show,Rodrigo González,0.4553247629491145
Julio Sabala,Memo Bunke y Natalia Cuevas,0.45528166357589817
"Daniel Muñoz ""El Carmelo""",Hugo Varela,0.4552668835426858
Dinamita Show,Pamela Leiva,0.45514140972836653
"Carlos ""El Mono"" Sánchez",Dino Gordillo,0.4551363872096382
Dinamita Show,Gigi Martin,0.45426563157978883
Diego Urrutia,Rodrigo Villegas,0.45362301641721
Sandy,Stefan Kramer,0.4531710074540605
Coco Legrand,Jenny Cavallo,0.45280347506014834
Palta Meléndez,"Paul Vásquez ""El Flaco""",0.4526889736991573
"Daniel Muñoz ""El Carmelo""",Ruperto,0.452465596263819
Centella,Coco Legrand,0.45242846856071195
Pedro Ruminot,Ricardo Meruane,0.4518307360546411
Dino Gordillo,Pujillay,0.45127521666222903
Hermógenes Conache,Huaso Filomeno,0.45122233923230975
Bastián Paz,Melón y Melame,0.4512182003407434
Bombo Fica,Fabrizio Copano,0.45110362417418065
Fabrizio Copano,Huaso Filomeno,0.45092570894683975
Edmundo Arrocet,Jorge Romero,0.4506064632380195
Juan Pablo López,Paulo Iglesias,0.45001600788658686
Dinamita Show,Rodrigo Villegas,0.44927719658143417
Bombo Fica,Paulo Iglesias,0.4489949155644003
Coco Legrand,Pedro Ruminot,0.44871116550758683
Dinamita Show,Los Acetatos,0.44870527017941575
Hugo Varela,Los Locos del Humor,0.44816181735274735
Centella,Edo Caroe,0.4480278833351336
Fabrizio Copano,Ricardo Meruane,0.4469394484015854
Felo,Stefan Kramer,0.44693325235761
Melón y Melame,Rodrigo Villegas,0.4464064231790654
Felo,Los Acetatos,0.44538249754746584
Pamela Leiva,Álvaro Salas,0.44526143970418103
Jorge Alís,Juan Pablo López,0.44455485475000406
Huaso Filomeno,"Paul Vásquez ""El Flaco""",0.4437375988000504
Fusión Humor,Lucho Miranda,0.4437002038657218
Mauricio Palma,Melón y Melame,0.443278095977475
Hugo Goodman,Rodrigo González,0.44214478472615115
"Daniel Muñoz ""El Carmelo""",Rodrigo Villegas,0.44187846710318257
Hugo Goodman,Natalia Cuevas,0.4416769715698106
Arturo Ruiz-Tagle,Juan Pablo López,0.44165754405041224
Lucho Navarro,Melón y Melame,0.4406889668842111
Dino Gordillo,Los Indolatinos,0.4405691950266948
Hermógenes Conache,Lucho Miranda,0.44022672517647765
Pujillay,Óscar Gangas,0.44001113451837126
El Pampero,Huaso Filomeno,0.4396719596524171
Los Locos del Humor,Álvaro Salas,0.43857130573899067
Arturo Ruiz-Tagle,Fabrizio Copano,0.43802814592945694
Melón y Melame,Rodrigo González,0.4379293448476074
Bastián Paz,El Pampero,0.43756546882740555
Arturo Ruiz-Tagle,Memo Bunke,0.43713927336330666
Coco Legrand,Sandy,0.43684518153965873
Centella,Javiera Contador,0.43679660264921316
Hugo Varela,Rudy Rey,0.43674863616932386
Jorge Alís,Mauricio Palma,0.43670212331026365
Dinamita Show,Ernesto Belloni,0.43650015176694124
"Carlos ""El Mono"" Sánchez",Huaso Filomeno,0.4362767431408534
Rodrigo González,Sergio Freire,0.4362713334344265
Coco Legrand,Paulo Iglesias,0.4362386512435592
Los Acetatos,Ruperto,0.4356137777613854
"Juan Luis ""Jajá"" Calderón",Palta Meléndez,0.43542644546020776
Mauricio Palma,Rodrigo González,0.43501147709696486
Payahop,Sandy,0.43453217448881337
Sergio Freire,Álvaro Salas,0.4341281530535476
Hugo Varela,Pujillay,0.4340862924978272
"Jorge ""Chino"" Navarrete",Pamela Leiva,0.43308885289842963
Lucho Navarro,Sandy,0.4328139393330302
Mauricio Palma,Palta Meléndez,0.43230295111921985
Pamela Leiva,"Paul Vásquez ""El Flaco""",0.43214098313832205
Jani Dueñas,Memo Bunke y Natalia Cuevas,0.4313885125588008
Coco Legrand,"Jorge ""Chino"" Navarrete",0.4312263664224468
Bastián Paz,Bombo Fica,0.4311795077285
Juan Pablo López,Sergio Freire,0.4311573940998161
Arturo Ruiz-Tagle,Palta Meléndez,0.43098467646944055
Hugo Varela,Pamela Leiva,0.4307027041097473
Lucho Miranda,Rodrigo González,0.43061777315773564
Coco Legrand,"Paul Vásquez ""El Flaco""",0.43043972915563605
Arturo Ruiz-Tagle,Stefan Kramer,0.4304184783289705
Palta Meléndez,Pedro Ruminot,0.43037700954465163
"Daniel Muñoz ""El Carmelo""",Millenium Show,0.4302786245716212
Hugo Goodman,Álvaro Salas,0.4299389833864934
Diego Urrutia,Pamela Leiva,0.4296312679361025
Los Indolatinos,Rudy Rey,0.42906515567313913
Bastián Paz,Rodrigo Villegas,0.42866700896937554
"Juan Luis ""Jajá"" Calderón",Pedro Ruminot,0.4284403603437414
"Carlos ""El Mono"" Sánchez",Natalia Valdebenito,0.42787607882876544
Juan Pablo López,"Paul Vásquez ""El Flaco""",0.4276997685044542
Alison Mandel,Belén Mora,0.4275858853000643
Alejandra Azcárate,Belén Mora,0.42750611847559483
Dinamita Show,Lucho Miranda,0.42680388880003267
Fusión Humor,Hermógenes Conache,0.42676565355872004
Fabrizio Copano,Profesor Salomón y Tutu-Tutu,0.426737441780596
El Pampero,Sandy,0.42635071693622184
Gloria Benavides,Rudy Rey,0.42620404048391153
Coco Legrand,Luis Slimming,0.4254419557413238
Dino Gordillo,Lucho Miranda,0.42522454185422087
Diego Urrutia,Jorge Romero,0.4250357818915021
"Juan Luis ""Jajá"" Calderón",Sandy,0.42466636579693706
Los Locos del Humor,"Paul Vásquez ""El Flaco""",0.424549589873914
Diego Urrutia,Sandy,0.42428665611347127
"Carlos ""El Mono"" Sánchez",Zip-Zup,0.42424527030752446
Millenium Show,Álvaro Salas,0.4242269762729332
Bastián Paz,Sandy,0.42379260894893556
Hermógenes Conache,Hugo Goodman,0.4236206724091738
Hugo Goodman,Óscar Gangas,0.42347229646685797
Centella,Palta Meléndez,0.42342754361482277
Edmundo Arrocet,Stefan Kramer,0.42334166878874624
Fusión Humor,Hugo Goodman,0.4232319732546675
Los Indolatinos,Sandy,0.42297164689171773
Hugo Varela,Profesor Salomón y Tutu-Tutu,0.4224850356235815
Fabrizio Copano,Rodrigo Villegas,0.4224593371047109
Centella,Ernesto Belloni,0.4218860064904682
Centella,Pamela Leiva,0.42081562306963366
Fusión Humor,Álvaro Salas,0.4202195178161229
Fusión Humor,Pamela Leiva,0.4200875829786879
"Carlos ""El Mono"" Sánchez",Rodrigo González,0.4200025583743506
Hugo Goodman,"Jorge ""Chino"" Navarrete",0.41960882973980235
Dino Gordillo,Jorge Alís,0.4192368006020502
Hermógenes Conache,Luis Slimming,0.4192258906026148
Coco Legrand,Hugo Varela,0.4190056074885819
Fusión Humor,Payahop,0.41874740039756086
Bombo Fica,Stefan Kramer,0.41873049311877086
Edo Caroe,Fabrizio Copano,0.4186347069735689
Arturo Ruiz-Tagle,Rodrigo González,0.41827844659551744
