ID,FESTIVAL,YEAR,TV,DATE,SHOWID,VIDEO
126,XLVI,2005,Canal 13,2005-02-21,31,https://www.youtube.com/watch?v=MRsZqith2fw
127,XLVII,2006,Canal 13,2006-02-23,62,https://www.youtube.com/watch?v=lHQ-hAioHUU
128,XLVII,2006,Canal 13,2006-02-24,38,https://www.youtube.com/watch?v=GmHX7g4aVx0
129,XLVII,2006,Canal 13,2006-02-25,9,https://www.youtube.com/watch?v=7YfFZxmyGYA
130,XLVII,2006,Canal 13,2006-02-27,63,https://www.youtube.com/watch?v=-bFs4eyaVDc
131,XLVIII,2007,"Canal 13, TVN",2007-02-24,51,https://www.youtube.com/watch?v=f3-gSugdRrA
132,XLVIII,2007,"Canal 13, TVN",2007-02-25,29,https://www.youtube.com/watch?v=ithOGNR4EXY
133,XLIX,2008,"Canal 13, TVN",2008-02-21,64,https://www.youtube.com/watch?v=erhpWmJO9UM
134,XLIX,2008,"Canal 13, TVN",2008-02-24,65,https://www.youtube.com/watch?v=C2R6YGqO4Q8
135,L,2009,"Canal 13, TVN",2009-02-25,43,https://www.youtube.com/watch?v=WT34201YUXs
136,L,2009,"Canal 13, TVN",2009-02-26,66,https://www.youtube.com/watch?v=YGxKge6xMcE
137,LI,2010,"Canal 13, TVN",2010-02-22,9,https://www.youtube.com/watch?v=S8oYPUNb2MU
138,LI,2010,"Canal 13, TVN",2010-02-24,67,
139,LII,2011,Chilevisión,2011-02-21,41,https://www.youtube.com/watch?v=fAMb0b39UJE
140,LII,2011,Chilevisión,2011-02-22,49,https://www.youtube.com/watch?v=NDg9oEIaRAA
141,LII,2011,Chilevisión,2011-02-23,58,
142,LII,2011,Chilevisión,2011-02-25,68,https://www.youtube.com/watch?v=4dXEggMTQzY
143,LIII,2012,Chilevisión,2012-02-23,43,https://www.youtube.com/watch?v=UzHHqapzkNo
144,LIII,2012,Chilevisión,2012-02-25,69,https://www.youtube.com/watch?v=cje_bO-ZiRM
145,LIII,2012,Chilevisión,2012-02-27,67,https://www.youtube.com/watch?v=kBu35Z3lvGg
146,LIV,2013,Chilevisión,2013-02-24,21,https://www.youtube.com/watch?v=8xeDQUAMBTg
147,LIV,2013,Chilevisión,2013-02-25,70,https://www.youtube.com/watch?v=gQr75kSr3DQ
148,LIV,2013,Chilevisión,2013-02-26,71,https://www.youtube.com/watch?v=IXBCR47G3mc
149,LIV,2013,Chilevisión,2013-02-27,72,https://www.youtube.com/watch?v=gn_v8ECau9U
150,LIV,2013,Chilevisión,2013-02-28,53,
151,LV,2014,Chilevisión,2014-02-23,73,https://www.youtube.com/watch?v=yPfKAyBsCBY
152,LV,2014,Chilevisión,2014-02-24,74,https://www.youtube.com/watch?v=D8O0cxbW4D0
153,LV,2014,Chilevisión,2014-02-25,75,https://www.youtube.com/watch?v=EIhoqOafsoI
154,LV,2014,Chilevisión,2014-02-27,76,https://www.youtube.com/watch?v=_l8pOhugbH4
155,LV,2014,Chilevisión,2014-02-28,77,https://www.youtube.com/watch?v=I-phgIGcOJY
156,LVI,2015,Chilevisión,2015-02-22,43,https://www.youtube.com/watch?v=b6HH5kzw3xA
157,LVI,2015,Chilevisión,2015-02-23,78,https://www.youtube.com/watch?v=Fo6pYHdazLc
158,LVI,2015,Chilevisión,2015-02-24,79,https://www.youtube.com/watch?v=5udWu5DwbKY
159,LVI,2015,Chilevisión,2015-02-25,80,https://www.youtube.com/watch?v=DKAesqNFmB0
160,LVI,2015,Chilevisión,2015-02-27,57,https://www.youtube.com/watch?v=6VfUZr0xoy8
161,LVII,2016,Chilevisión,2016-02-22,81,https://www.youtube.com/watch?v=wxW65PoL2FY
162,LVII,2016,Chilevisión,2016-02-23,82,https://www.youtube.com/watch?v=xCJZW5xpMeU
163,LVII,2016,Chilevisión,2016-02-24,83,https://www.youtube.com/watch?v=-Q0ftHFhgSY
164,LVII,2016,Chilevisión,2016-02-25,84,https://www.youtube.com/watch?v=ZikR_WZcWOY
165,LVII,2016,Chilevisión,2016-02-26,73,https://www.youtube.com/watch?v=qOdRMSiInsI
166,LVII,2016,Chilevisión,2016-02-27,68,https://www.youtube.com/watch?v=QJ_34kKhoVY
167,LVIII,2017,Chilevisión,2017-02-20,85,https://www.youtube.com/watch?v=sn6UsIBqrnQ
168,LVIII,2017,Chilevisión,2017-02-21,86,https://www.youtube.com/watch?v=52Rv7cWRLvE
169,LVIII,2017,Chilevisión,2017-02-22,87,https://www.youtube.com/watch?v=Vqcy89wt-X4
170,LVIII,2017,Chilevisión,2017-02-23,88,https://www.youtube.com/watch?v=XFom-N-_4ig
171,LVIII,2017,Chilevisión,2017-02-24,89,https://www.youtube.com/watch?v=SOxxTZ7-k4s
172,LVIII,2017,Chilevisión,2017-02-25,90,https://www.youtube.com/watch?v=m2f9zCMFDVU
173,LIX,2018,Chilevisión,2018-02-20,67,https://www.youtube.com/watch?v=IPZXmxwgC8E
174,LIX,2018,Chilevisión,2018-02-21,91,https://www.youtube.com/watch?v=oWHa-f8mq7Y
175,LIX,2018,Chilevisión,2018-02-22,64,https://www.youtube.com/watch?v=rq1kOT6TR4k
176,LIX,2018,Chilevisión,2018-02-23,92,https://www.youtube.com/watch?v=5e5tRFgodxo
177,LIX,2018,Chilevisión,2018-02-24,93,https://www.youtube.com/watch?v=71qXCPzxLn0
178,LIX,2018,Chilevisión,2018-02-25,94,
179,LX,2019,"Canal 13, TVN",2019-02-24,95,https://www.youtube.com/watch?v=WO3QfvdOUws
180,LX,2019,"Canal 13, TVN",2019-02-25,41,
181,LX,2019,"Canal 13, TVN",2019-02-26,96,https://www.youtube.com/watch?v=KE6mP8YtxtI
182,LX,2019,"Canal 13, TVN",2019-02-27,74,https://www.youtube.com/watch?v=Yk6NbH3ZSjw
183,LX,2019,"Canal 13, TVN",2019-02-28,97,https://www.youtube.com/watch?v=rHC396RgXq8
184,LX,2019,"Canal 13, TVN",2019-03-01,98,
185,LXI,2020,"Canal 13, TVN",2020-02-23,64,
186,LXI,2020,"Canal 13, TVN",2020-02-24,99,https://www.youtube.com/watch?v=r_CGD9M7Wpk
187,LXI,2020,"Canal 13, TVN",2020-02-25,100,https://www.youtube.com/watch?v=jLHPImy8Kh0
188,LXI,2020,"Canal 13, TVN",2020-02-26,101,https://www.youtube.com/watch?v=jNJk55pkxoU
189,LXI,2020,"Canal 13, TVN",2020-02-27,102,https://www.youtube.com/watch?v=7Zuq_Y3cJn8
190,LXI,2020,"Canal 13, TVN",2020-02-28,84,https://www.youtube.com/watch?v=PcV76hJmoGU
191,LXII,2023,"Canal 13, TVN",2023-02-19,103,https://www.youtube.com/watch?v=C0QN87eCb4c
192,LXII,2023,"Canal 13, TVN",2023-02-20,104,https://www.youtube.com/watch?v=PDI45DKN0oc
193,LXII,2023,"Canal 13, TVN",2023-02-21,105,https://www.youtube.com/watch?v=0a4MnPr53_c
194,LXII,2023,"Canal 13, TVN",2023-02-22,89,https://www.youtube.com/watch?v=OUnCxHAaH9c
195,LXII,2023,"Canal 13, TVN",2023-02-23,90,https://www.youtube.com/watch?v=lcaNmSupsQM
196,LXII,2023,"Canal 13, TVN",2023-02-24,106,https://www.youtube.com/watch?v=4CGMCcbAin8
197,LXIII,2024,"Canal 13, TVN",2024-02-25,92,https://www.youtube.com/watch?v=ECrw6fGydrY
198,LXIII,2024,"Canal 13, TVN",2024-02-26,99,https://www.youtube.com/watch?v=Z4nhHJuBCi4
199,LXIII,2024,"Canal 13, TVN",2024-02-27,107,https://www.youtube.com/watch?v=4dZs8JX1XYY
200,LXIII,2024,"Canal 13, TVN",2024-02-28,108,https://www.youtube.com/watch?v=Qs2noQccx6A
201,LXIII,2024,"Canal 13, TVN",2024-02-29,94,https://www.youtube.com/watch?v=fdyijhv7_rg
202,LXIII,2024,"Canal 13, TVN",2024-03-01,109,https://www.youtube.com/watch?v=cYr-SqLObQw
