ROUTINEID,FESTIVAL,YEAR,TV,DATE,SHOW,VIDEO
120,XLV,2004,Canal 13,2004-02-18,Sandy,https://www.youtube.com/watch?v=G9YMTMg7Gok
121,XLV,2004,Canal 13,2004-02-19,Palta Meléndez,https://www.youtube.com/watch?v=-hptfevz95M
122,XLV,2004,Canal 13,2004-02-21,Natalia Cuevas,https://www.youtube.com/watch?v=Ca2pAtfB6d4
123,XLV,2004,Canal 13,2004-02-23,Los Indolatinos,https://www.youtube.com/watch?v=2TrNcIyUaHY
124,XLVI,2005,Canal 13,2005-02-17,Hugo Varela,https://www.youtube.com/watch?v=YLmMUocUr6M
125,XLVI,2005,Canal 13,2005-02-18,Felo,https://www.youtube.com/watch?v=kPfcgMqohu4
126,XLVI,2005,Canal 13,2005-02-21,Paulo Iglesias,https://www.youtube.com/watch?v=MRsZqith2fw
127,XLVII,2006,Canal 13,2006-02-23,Carlos García,https://www.youtube.com/watch?v=lHQ-hAioHUU
128,XLVII,2006,Canal 13,2006-02-24,Julio Sabala,https://www.youtube.com/watch?v=GmHX7g4aVx0
129,XLVII,2006,Canal 13,2006-02-25,Coco Legrand,https://www.youtube.com/watch?v=7YfFZxmyGYA
130,XLVII,2006,Canal 13,2006-02-27,Ruperto,https://www.youtube.com/watch?v=-bFs4eyaVDc
131,XLVIII,2007,"Canal 13, TVN",2007-02-24,Álvaro Salas,https://www.youtube.com/watch?v=f3-gSugdRrA
132,XLVIII,2007,"Canal 13, TVN",2007-02-25,Palta Meléndez,https://www.youtube.com/watch?v=ithOGNR4EXY
133,XLIX,2008,"Canal 13, TVN",2008-02-21,Stefan Kramer,https://www.youtube.com/watch?v=erhpWmJO9UM
134,XLIX,2008,"Canal 13, TVN",2008-02-24,Profesor Salomón y Tutu-Tutu,https://www.youtube.com/watch?v=C2R6YGqO4Q8
135,L,2009,"Canal 13, TVN",2009-02-25,Dinamita Show,https://www.youtube.com/watch?v=WT34201YUXs
136,L,2009,"Canal 13, TVN",2009-02-26,Manpoval,https://www.youtube.com/watch?v=YGxKge6xMcE
137,LI,2010,"Canal 13, TVN",2010-02-22,Coco Legrand,https://www.youtube.com/watch?v=S8oYPUNb2MU
138,LI,2010,"Canal 13, TVN",2010-02-24,Bombo Fica,
139,LII,2011,Chilevisión,2011-02-21,Dino Gordillo,https://www.youtube.com/watch?v=fAMb0b39UJE
140,LII,2011,Chilevisión,2011-02-22,Óscar Gangas,https://www.youtube.com/watch?v=NDg9oEIaRAA
141,LII,2011,Chilevisión,2011-02-23,Mauricio Flores,
