show,year,topic_id,topic_mass,total_mass,p_topic_show_year
Bombo Fica,2012,18,0.030900567640805968,9.106485097610907,0.0033932485815973885
Bombo Fica,2012,20,0.08856048548718773,9.106485097610907,0.009724990985865847
Bombo Fica,2012,24,0.11177315576672622,9.106485097610907,0.012274017314984679
Bombo Fica,2012,25,1.0,9.106485097610907,0.10981185268313355
Bombo Fica,2018,0,0.997586157808647,20.64844884798485,0.048312886122969224
Bombo Fica,2018,1,0.22237905049793505,20.64844884798485,0.010769770268706541
Bombo Fica,2018,2,1.1568225755447858,20.64844884798485,0.056024672073984094
Bombo Fica,2018,4,0.8982042847119365,20.64844884798485,0.043499843078992115
Bombo Fica,2018,5,0.28189056276579355,20.64844884798485,0.013651900190715981
Bombo Fica,2018,6,2.7062457234685917,20.64844884798485,0.1310629066324613
Bombo Fica,2018,7,0.4192181859647161,20.64844884798485,0.020302647867209117
Bombo Fica,2018,8,1.0817336734368044,20.64844884798485,0.052388132464602756
Bombo Fica,2018,9,0.06770370273917127,20.64844884798485,0.0032788759696968086
Bombo Fica,2018,10,1.626838203677754,20.64844884798485,0.07878742929576149
Bombo Fica,2018,12,0.058488180503070406,20.64844884798485,0.002832570181598821
Bombo Fica,2018,13,1.095480384583447,20.64844884798485,0.05305388277097428
Bombo Fica,2018,14,0.06062130759207241,20.64844884798485,0.002935877074271787
Bombo Fica,2018,15,1.4168117097208874,20.64844884798485,0.06861589072145527
Bombo Fica,2018,16,2.105170984511736,20.64844884798485,0.10195298445951724
Bombo Fica,2018,17,0.15001371588497306,20.64844884798485,0.007265132455681454
Bombo Fica,2018,19,0.19537005395683155,20.64844884798485,0.009461730292437845
Bombo Fica,2018,22,1.0,20.64844884798485,0.04842978798853423
Bombo Fica,2018,24,1.0345233774583698,20.64844884798485,0.050101747839491215
Bombo Fica,2018,27,1.0,20.64844884798485,0.04842978798853423
Bombo Fica,2018,28,3.073347013157324,20.64844884798485,0.14884154426240412
"Carlos ""El Mono"" Sánchez",2017,3,1.0,15.64133170421811,0.06393317518676002
"Carlos ""El Mono"" Sánchez",2017,4,0.05886727514487006,15.64133170421811,0.003763571814604181
"Carlos ""El Mono"" Sánchez",2017,6,0.5372447475595044,15.64133170421811,0.034347762563888454
"Carlos ""El Mono"" Sánchez",2017,7,2.7237764034739866,15.64133170421811,0.1741396739728655
"Carlos ""El Mono"" Sánchez",2017,8,0.039385149353477,15.64133170421811,0.0025180176533725527
"Carlos ""El Mono"" Sánchez",2017,9,0.34525309086648753,15.64133170421811,0.02207312634213752
"Carlos ""El Mono"" Sánchez",2017,10,1.0553423708024812,15.64133170421811,0.06747138867452568
"Carlos ""El Mono"" Sánchez",2017,14,0.37039195525153745,15.64133170421811,0.023680333762863118
