segment_idx,show,year
415,"Jorge ""Chino"" Navarrete",1994
416,"Jorge ""Chino"" Navarrete",1994
417,"Jorge ""Chino"" Navarrete",1994
418,"Jorge ""Chino"" Navarrete",1994
419,"Jorge ""Chino"" Navarrete",1994
420,Jappening con ja,1995
421,Jappening con ja,1995
422,Jappening con ja,1995
423,Jappening con ja,1995
424,Jappening con ja,1995
425,Jappening con ja,1995
426,Jappening con ja,1995
427,Jappening con ja,1995
428,Jappening con ja,1995
429,Jappening con ja,1995
430,Jappening con ja,1995
431,Jappening con ja,1995
432,Jappening con ja,1995
433,Jappening con ja,1995
434,Jappening con ja,1995
435,Jappening con ja,1995
436,Jappening con ja,1995
437,Jappening con ja,1995
438,Jappening con ja,1995
439,Jappening con ja,1995
440,Jappening con ja,1995
441,Jappening con ja,1995
442,Jappening con ja,1995
443,Jappening con ja,1995
444,Gloria Benavides,1995
445,Gloria Benavides,1995
446,Gloria Benavides,1995
447,Gloria Benavides,1995
448,Gloria Benavides,1995
449,Gloria Benavides,1995
450,Gloria Benavides,1995
451,Gloria Benavides,1995
452,Gloria Benavides,1995
453,Gloria Benavides,1995
454,Gloria Benavides,1995
455,Gloria Benavides,1995
456,Gloria Benavides,1995
457,Gloria Benavides,1995
458,Gloria Benavides,1995
459,Gloria Benavides,1995
460,Gloria Benavides,1995
461,Gloria Benavides,1995
462,Gloria Benavides,1995
463,Gloria Benavides,1995
464,Gloria Benavides,1995
465,Gloria Benavides,1995
466,Gloria Benavides,1995
467,Gloria Benavides,1995
468,Paulo Iglesias,1995
469,Paulo Iglesias,1995
470,Paulo Iglesias,1995
471,Paulo Iglesias,1995
472,Paulo Iglesias,1995
473,Paulo Iglesias,1995
474,Paulo Iglesias,1995
475,Paulo Iglesias,1995
476,Paulo Iglesias,1995
477,Paulo Iglesias,1995
478,Paulo Iglesias,1995
479,Paulo Iglesias,1995
480,Paulo Iglesias,1995
481,Paulo Iglesias,1995
482,Paulo Iglesias,1995
483,Paulo Iglesias,1995
484,Paulo Iglesias,1995
485,Paulo Iglesias,1995
486,Paulo Iglesias,1995
487,Paulo Iglesias,1995
488,Paulo Iglesias,1995
489,Paulo Iglesias,1995
490,El Pampero,1995
491,El Pampero,1995
492,El Pampero,1995
493,El Pampero,1995
494,El Pampero,1995
495,El Pampero,1995
496,El Pampero,1995
497,El Pampero,1995
498,El Pampero,1995
499,El Pampero,1995
500,El Pampero,1995
501,El Pampero,1995
502,El Pampero,1995
503,El Pampero,1995
504,El Pampero,1995
505,El Pampero,1995
506,El Pampero,1995
507,El Pampero,1995
508,El Pampero,1995
509,El Pampero,1995
510,El Pampero,1995
511,El Pampero,1995
512,Dino Gordillo,1996
513,Dino Gordillo,1996
514,Dino Gordillo,1996
515,Dino Gordillo,1996
516,Dino Gordillo,1996
517,Dino Gordillo,1996
518,Dino Gordillo,1996
519,Dino Gordillo,1996
520,Dino Gordillo,1996
521,Dino Gordillo,1996
522,Dino Gordillo,1996
523,Dino Gordillo,1996
524,Dino Gordillo,1996
525,Dino Gordillo,1996
526,Dino Gordillo,1996
527,Dino Gordillo,1996
528,Dino Gordillo,1996
529,Dino Gordillo,1996
530,Dino Gordillo,1996
531,Dino Gordillo,1996
532,Dino Gordillo,1996
533,Dino Gordillo,1996
534,Dino Gordillo,1996
535,Dino Gordillo,1996
536,Dino Gordillo,1996
537,Los Indolatinos,1996
538,Los Indolatinos,1996
539,Los Indolatinos,1996
540,Los Indolatinos,1996
541,Los Indolatinos,1996
542,Los Indolatinos,1996
543,Los Indolatinos,1996
544,Los Indolatinos,1996
545,Los Indolatinos,1996
546,Los Indolatinos,1996
547,Los Indolatinos,1996
548,Los Indolatinos,1996
549,Los Indolatinos,1996
550,Los Indolatinos,1996
551,Los Indolatinos,1996
552,Los Indolatinos,1996
553,Dinamita Show,1996
554,Dinamita Show,1996
555,Dinamita Show,1996
556,Dinamita Show,1996
557,Dinamita Show,1996
558,Dinamita Show,1996
559,Dinamita Show,1996
560,Dinamita Show,1996
561,Dinamita Show,1996
562,Dinamita Show,1996
563,Dinamita Show,1996
564,Dinamita Show,1996
565,Dinamita Show,1996
566,Dinamita Show,1996
567,Dinamita Show,1996
568,Dinamita Show,1996
569,Dinamita Show,1996
570,Dinamita Show,1996
571,Dinamita Show,1996
572,Dinamita Show,1996
573,Dinamita Show,1996
574,Dinamita Show,1996
575,Dinamita Show,1996
576,Dinamita Show,1996
577,Dinamita Show,1996
578,Dinamita Show,1996
579,Dinamita Show,1996
580,Dinamita Show,1996
581,Dinamita Show,1996
582,Dinamita Show,1996
583,Dinamita Show,1996
584,Dinamita Show,1996
585,Dinamita Show,1996
586,Dinamita Show,1996
587,Dinamita Show,1996
588,Dinamita Show,1996
589,Dino Gordillo,1997
590,Dino Gordillo,1997
591,Dino Gordillo,1997
592,Dino Gordillo,1997
593,Dino Gordillo,1997
594,Dino Gordillo,1997
595,Dino Gordillo,1997
596,Dino Gordillo,1997
597,Dino Gordillo,1997
598,Dino Gordillo,1997
599,Dino Gordillo,1997
600,Dino Gordillo,1997
601,Dino Gordillo,1997
602,Dino Gordillo,1997
603,Dino Gordillo,1997
604,Dino Gordillo,1997
605,Dino Gordillo,1997
606,Dino Gordillo,1997
607,Dino Gordillo,1997
608,Dino Gordillo,1997
609,Dino Gordillo,1997
610,Dino Gordillo,1997
611,Gilberto Gless,1997
612,Gilberto Gless,1997
613,Gilberto Gless,1997
614,Gilberto Gless,1997
615,Gilberto Gless,1997
616,Gilberto Gless,1997
617,Gilberto Gless,1997
618,Gilberto Gless,1997
619,Gilberto Gless,1997
620,Gilberto Gless,1997
621,Gilberto Gless,1997
622,Gilberto Gless,1997
623,Gilberto Gless,1997
624,Gilberto Gless,1997
625,Gilberto Gless,1997
626,Gilberto Gless,1997
627,Gilberto Gless,1997
628,Gilberto Gless,1997
629,Gilberto Gless,1997
630,Gilberto Gless,1997
631,Gilberto Gless,1997
632,Gilberto Gless,1997
633,Gilberto Gless,1997
634,Gilberto Gless,1997
635,Jorge Pérez,1997
636,Jorge Pérez,1997
637,Jorge Pérez,1997
638,Jorge Pérez,1997
639,Jorge Pérez,1997
640,Jorge Pérez,1997
641,Palta Meléndez,1997
642,Palta Meléndez,1997
643,Palta Meléndez,1997
644,Palta Meléndez,1997
645,Palta Meléndez,1997
646,Palta Meléndez,1997
647,Palta Meléndez,1997
