segment_idx,topic_id_matrix,topic_id_assumed,p_topic
27,3,3,0.018828063299596073
27,4,4,0.022598519982407392
27,5,5,0.01878953031161994
27,6,6,0.020046420650085776
27,7,7,0.016669877602792448
27,8,8,0.02844699141535611
27,9,9,0.0229321652167174
27,10,10,0.21483724597596462
27,11,11,0.016772524796955592
27,12,12,0.04086991353621067
27,13,13,0.03330493927328778
27,14,14,0.020791891803773603
27,15,15,0.017017124930908643
27,16,16,0.018302743596678953
27,17,17,0.01914227794956914
27,18,18,0.02134149977643659
27,19,19,0.019039019634036983
27,20,20,0.021686627439631984
27,21,21,0.022042345410601665
27,22,22,0.023102985368809708
27,23,23,0.019574130924522395
27,24,24,0.03563925489721396
27,25,25,0.02472884246962925
27,26,26,0.020695062823436812
27,27,27,0.024633416703953328
27,28,28,0.027150457831406127
27,29,29,0.028721258186661675
28,1,1,0.09310594863878752
28,2,2,0.016730935466143116
28,3,3,0.014576716622533495
28,6,6,0.018665878863743362
28,8,8,0.019305507283183056
28,10,10,0.02310403625614333
28,12,12,0.013864798449018978
28,13,13,0.04661250948896949
28,14,14,0.02079018475945068
28,17,17,0.017168341226230895
28,19,19,0.01636045697802997
28,21,21,0.02534224404629826
28,22,22,0.028084968709100194
28,24,24,0.013944811360341472
28,25,25,0.0171410056523824
28,27,27,0.012423580353780644
28,28,28,0.011323298446404163
28,29,29,0.028718996178018593
29,1,1,0.015707290637081227
29,2,2,0.029665689591557763
29,3,3,0.44008367819488414
29,4,4,0.012437627886823422
29,6,6,0.027648554546264605
29,10,10,0.017498885973553382
29,12,12,0.01180994768833405
29,13,13,0.013967256583353493
29,14,14,0.023577309857995915
29,17,17,0.04650388069196305
29,19,19,0.04815918317799711
29,21,21,0.015812804487909622
29,22,22,0.020047981614773325
29,24,24,0.011036928894532925
29,25,25,0.010416859198986382
29,28,28,0.017574372586742347
29,29,29,0.013501071732634715
30,2,2,0.023207636367839884
30,4,4,0.010684713037812448
30,10,10,0.02119862641671097
30,12,12,0.01652276035214782
30,13,13,0.011860076671861943
30,24,24,0.010909509063931224
30,28,28,0.012578358189819132
30,29,29,0.010735785386679589
31,0,0,0.07412555481938798
31,1,1,0.01124338414301627
31,2,2,0.020804641937635746
31,3,3,0.011536439428197504
31,4,4,0.03862591649406663
31,5,5,0.02418943203249457
31,6,6,0.01029032022659933
31,7,7,0.017362057743343203
31,8,8,0.012075869478005133
31,9,9,0.04937543649333223
31,10,10,0.01922221508707084
31,11,11,0.017919511898500638
31,12,12,0.024343014379509677
31,13,13,0.012747586379883376
31,14,14,0.010398139908518322
31,15,15,0.013674860228397956
31,16,16,0.023915030432885804
31,17,17,0.010553944918364753
31,18,18,0.044283452527770314
31,19,19,0.011096412865140471
31,20,20,0.023203595840816195
31,21,21,0.010328931787585791
31,22,22,0.01076710284368445
31,23,23,0.016683680088692546
31,24,24,0.023367281686075825
31,25,25,0.013195107572714254
31,26,26,0.019116381285486733
31,27,27,0.015887923731967547
31,28,28,0.020547791485829758
31,29,29,0.013046999554355036
32,1,1,0.014882906608090607
32,2,2,0.028447142160023718
32,3,3,0.29504053875100383
32,4,4,0.01190841561683156
32,6,6,0.025335107538727444
32,10,10,0.016579551340687705
32,12,12,0.011182185595289907
32,13,13,0.013140017085127914
32,14,14,0.021229731767654417
32,17,17,0.041667938940179006
32,19,19,0.043517313452069016
32,21,21,0.014543832594083013
32,22,22,0.01840100448382904
32,24,24,0.010554525465596952
32,28,28,0.016910510190439793
32,29,29,0.012831630670012336
33,0,0,0.01830886018043907
33,1,1,0.010276894602261857
33,2,2,0.01594765528779399
33,4,4,0.017468261354774337
33,5,5,0.09380268913348457
33,7,7,0.02615246282768952
33,8,8,0.011616504737222715
33,9,9,0.027960127749098406
33,10,10,0.015991003046509418
33,11,11,0.07031647850459824
33,12,12,0.02336944194188823
33,13,13,0.011997690860762477
33,15,15,0.01697998864537975
33,16,16,0.047963943347024744
33,18,18,0.03787537647649316
33,20,20,0.035631144423683855
33,23,23,0.021394841741717373
33,24,24,0.02532321003295034
33,25,25,0.014323757185594721
33,26,26,0.04269336849667732
33,27,27,0.01809692545766802
33,28,28,0.014742713560968946
33,29,29,0.012508670958670757
34,0,0,0.01731026346996065
34,2,2,0.017795039684971325
34,4,4,0.01747205622042621
34,5,5,0.030800481239243817
34,7,7,0.037274556360423254
34,8,8,0.011271073901480475
34,9,9,0.025125725962943626
34,10,10,0.016177432809365143
34,11,11,0.03536737685024085
34,12,12,0.028136597454848894
34,13,13,0.011437148759450316
34,15,15,0.01885639029447399
34,16,16,0.07076027899227895
34,18,18,0.03832930115104061
34,20,20,0.0449934897700673
34,23,23,0.027519970296572462
34,24,24,0.04214783960918367
34,25,25,0.015128564387575505
34,26,26,0.023044020179393904
34,27,27,0.02112744144630897
34,28,28,0.015785425850205894
34,29,29,0.012651169596732076
35,0,0,0.014128368982635845
35,1,1,0.026035564549914327
