ID,EVENT,VERSION,YEAR,TV,DATE,SHOWID,VIDEO
101,Festival Internacional de la Canción de Viña del Mar,XL,1999,Megavision,1999-02-11,36,https://www.youtube.com/watch?v=1q6_xvou9ww
102,Festival Internacional de la Canción de Viña del Mar,XL,1999,Megavision,1999-02-12,41,
103,Festival Internacional de la Canción de Viña del Mar,XL,1999,Megavision,1999-02-15,48,https://www.youtube.com/watch?v=J7yzuQ7GT4w
104,Festival Internacional de la Canción de Viña del Mar,XLI,2000,Canal 13,2000-02-16,51,https://www.youtube.com/watch?v=IvI0VK4X0NU
105,Festival Internacional de la Canción de Viña del Mar,XLI,2000,Canal 13,2000-02-17,52,https://www.youtube.com/watch?v=nTVNGBsuDek
106,Festival Internacional de la Canción de Viña del Mar,XLI,2000,Canal 13,2000-02-18,36,
107,Festival Internacional de la Canción de Viña del Mar,XLI,2000,Canal 13,2000-02-19,53,https://www.youtube.com/watch?v=dy7G_DSllHY
108,Festival Internacional de la Canción de Viña del Mar,XLI,2000,Canal 13,2000-02-20,9,https://www.youtube.com/watch?v=Q_1ZvSEq-3k
109,Festival Internacional de la Canción de Viña del Mar,XLI,2000,Canal 13,2000-02-21,41,https://www.youtube.com/watch?v=m52ugQyjiqg
110,Festival Internacional de la Canción de Viña del Mar,XLII,2001,Canal 13,2001-02-21,43,
111,Festival Internacional de la Canción de Viña del Mar,XLII,2001,Canal 13,2001-02-22,54,https://www.youtube.com/watch?v=ZkftijPisig
112,Festival Internacional de la Canción de Viña del Mar,XLII,2001,Canal 13,2001-02-24,55,https://www.youtube.com/watch?v=2IWzEABB8tc
113,Festival Internacional de la Canción de Viña del Mar,XLII,2001,Canal 13,2001-02-25,56,https://www.youtube.com/watch?v=iMY2JvmtoHg
114,Festival Internacional de la Canción de Viña del Mar,XLIII,2002,Canal 13,2002-02-21,57,https://www.youtube.com/watch?v=9MxLJTpC1fI
115,Festival Internacional de la Canción de Viña del Mar,XLIII,2002,Canal 13,2002-02-24,17,https://www.youtube.com/watch?v=e551t9_I4Wg
116,Festival Internacional de la Canción de Viña del Mar,XLIV,2003,Canal 13,2003-02-20,58,
117,Festival Internacional de la Canción de Viña del Mar,XLIV,2003,Canal 13,2003-02-21,59,https://www.youtube.com/watch?v=UlZHcETbpKs
118,Festival Internacional de la Canción de Viña del Mar,XLIV,2003,Canal 13,2003-02-22,60,https://www.youtube.com/watch?v=9sm7HI5wyaU
119,Festival Internacional de la Canción de Viña del Mar,XLIV,2003,Canal 13,2003-02-24,53,
120,Festival Internacional de la Canción de Viña del Mar,XLV,2004,Canal 13,2004-02-18,36,https://www.youtube.com/watch?v=G9YMTMg7Gok
121,Festival Internacional de la Canción de Viña del Mar,XLV,2004,Canal 13,2004-02-19,29,https://www.youtube.com/watch?v=-hptfevz95M
122,Festival Internacional de la Canción de Viña del Mar,XLV,2004,Canal 13,2004-02-21,60,https://www.youtube.com/watch?v=Ca2pAtfB6d4
123,Festival Internacional de la Canción de Viña del Mar,XLV,2004,Canal 13,2004-02-23,42,https://www.youtube.com/watch?v=2TrNcIyUaHY
124,Festival Internacional de la Canción de Viña del Mar,XLVI,2005,Canal 13,2005-02-17,28,https://www.youtube.com/watch?v=YLmMUocUr6M
125,Festival Internacional de la Canción de Viña del Mar,XLVI,2005,Canal 13,2005-02-18,61,https://www.youtube.com/watch?v=kPfcgMqohu4
126,Festival Internacional de la Canción de Viña del Mar,XLVI,2005,Canal 13,2005-02-21,31,https://www.youtube.com/watch?v=MRsZqith2fw
127,Festival Internacional de la Canción de Viña del Mar,XLVII,2006,Canal 13,2006-02-23,62,https://www.youtube.com/watch?v=lHQ-hAioHUU
128,Festival Internacional de la Canción de Viña del Mar,XLVII,2006,Canal 13,2006-02-24,38,https://www.youtube.com/watch?v=GmHX7g4aVx0
129,Festival Internacional de la Canción de Viña del Mar,XLVII,2006,Canal 13,2006-02-25,9,https://www.youtube.com/watch?v=7YfFZxmyGYA
130,Festival Internacional de la Canción de Viña del Mar,XLVII,2006,Canal 13,2006-02-27,63,https://www.youtube.com/watch?v=-bFs4eyaVDc
131,Festival Internacional de la Canción de Viña del Mar,XLVIII,2007,"Canal 13, TVN",2007-02-24,51,https://www.youtube.com/watch?v=f3-gSugdRrA
132,Festival Internacional de la Canción de Viña del Mar,XLVIII,2007,"Canal 13, TVN",2007-02-25,29,https://www.youtube.com/watch?v=ithOGNR4EXY
133,Festival Internacional de la Canción de Viña del Mar,XLIX,2008,"Canal 13, TVN",2008-02-21,64,https://www.youtube.com/watch?v=erhpWmJO9UM
134,Festival Internacional de la Canción de Viña del Mar,XLIX,2008,"Canal 13, TVN",2008-02-24,65,https://www.youtube.com/watch?v=C2R6YGqO4Q8
135,Festival Internacional de la Canción de Viña del Mar,L,2009,"Canal 13, TVN",2009-02-25,43,https://www.youtube.com/watch?v=WT34201YUXs
136,Festival Internacional de la Canción de Viña del Mar,L,2009,"Canal 13, TVN",2009-02-26,66,https://www.youtube.com/watch?v=YGxKge6xMcE
137,Festival Internacional de la Canción de Viña del Mar,LI,2010,"Canal 13, TVN",2010-02-22,9,https://www.youtube.com/watch?v=S8oYPUNb2MU
138,Festival Internacional de la Canción de Viña del Mar,LI,2010,"Canal 13, TVN",2010-02-24,67,
139,Festival Internacional de la Canción de Viña del Mar,LII,2011,Chilevisión,2011-02-21,41,https://www.youtube.com/watch?v=fAMb0b39UJE
140,Festival Internacional de la Canción de Viña del Mar,LII,2011,Chilevisión,2011-02-22,49,https://www.youtube.com/watch?v=NDg9oEIaRAA
141,Festival Internacional de la Canción de Viña del Mar,LII,2011,Chilevisión,2011-02-23,58,
142,Festival Internacional de la Canción de Viña del Mar,LII,2011,Chilevisión,2011-02-25,68,https://www.youtube.com/watch?v=4dXEggMTQzY
143,Festival Internacional de la Canción de Viña del Mar,LIII,2012,Chilevisión,2012-02-23,43,https://www.youtube.com/watch?v=UzHHqapzkNo
144,Festival Internacional de la Canción de Viña del Mar,LIII,2012,Chilevisión,2012-02-25,69,https://www.youtube.com/watch?v=cje_bO-ZiRM
145,Festival Internacional de la Canción de Viña del Mar,LIII,2012,Chilevisión,2012-02-27,67,https://www.youtube.com/watch?v=kBu35Z3lvGg
146,Festival Internacional de la Canción de Viña del Mar,LIV,2013,Chilevisión,2013-02-24,21,https://www.youtube.com/watch?v=8xeDQUAMBTg
147,Festival Internacional de la Canción de Viña del Mar,LIV,2013,Chilevisión,2013-02-25,70,https://www.youtube.com/watch?v=gQr75kSr3DQ
148,Festival Internacional de la Canción de Viña del Mar,LIV,2013,Chilevisión,2013-02-26,71,https://www.youtube.com/watch?v=IXBCR47G3mc
149,Festival Internacional de la Canción de Viña del Mar,LIV,2013,Chilevisión,2013-02-27,72,https://www.youtube.com/watch?v=gn_v8ECau9U
150,Festival Internacional de la Canción de Viña del Mar,LIV,2013,Chilevisión,2013-02-28,53,
151,Festival Internacional de la Canción de Viña del Mar,LV,2014,Chilevisión,2014-02-23,73,https://www.youtube.com/watch?v=yPfKAyBsCBY
152,Festival Internacional de la Canción de Viña del Mar,LV,2014,Chilevisión,2014-02-24,74,https://www.youtube.com/watch?v=D8O0cxbW4D0
153,Festival Internacional de la Canción de Viña del Mar,LV,2014,Chilevisión,2014-02-25,75,https://www.youtube.com/watch?v=EIhoqOafsoI
154,Festival Internacional de la Canción de Viña del Mar,LV,2014,Chilevisión,2014-02-27,76,https://www.youtube.com/watch?v=_l8pOhugbH4
155,Festival Internacional de la Canción de Viña del Mar,LV,2014,Chilevisión,2014-02-28,77,https://www.youtube.com/watch?v=I-phgIGcOJY
156,Festival Internacional de la Canción de Viña del Mar,LVI,2015,Chilevisión,2015-02-22,43,https://www.youtube.com/watch?v=b6HH5kzw3xA
157,Festival Internacional de la Canción de Viña del Mar,LVI,2015,Chilevisión,2015-02-23,78,https://www.youtube.com/watch?v=Fo6pYHdazLc
158,Festival Internacional de la Canción de Viña del Mar,LVI,2015,Chilevisión,2015-02-24,79,https://www.youtube.com/watch?v=5udWu5DwbKY
159,Festival Internacional de la Canción de Viña del Mar,LVI,2015,Chilevisión,2015-02-25,80,https://www.youtube.com/watch?v=DKAesqNFmB0
160,Festival Internacional de la Canción de Viña del Mar,LVI,2015,Chilevisión,2015-02-27,57,https://www.youtube.com/watch?v=6VfUZr0xoy8
161,Festival Internacional de la Canción de Viña del Mar,LVII,2016,Chilevisión,2016-02-22,81,https://www.youtube.com/watch?v=wxW65PoL2FY
162,Festival Internacional de la Canción de Viña del Mar,LVII,2016,Chilevisión,2016-02-23,82,https://www.youtube.com/watch?v=xCJZW5xpMeU
163,Festival Internacional de la Canción de Viña del Mar,LVII,2016,Chilevisión,2016-02-24,83,https://www.youtube.com/watch?v=-Q0ftHFhgSY
