segment_idx,show,year
872,Coco Legrand,2000
873,Coco Legrand,2000
874,Coco Legrand,2000
875,Coco Legrand,2000
876,Coco Legrand,2000
877,Coco Legrand,2000
878,Coco Legrand,2000
879,Coco Legrand,2000
880,Coco Legrand,2000
881,Coco Legrand,2000
882,Coco Legrand,2000
883,Coco Legrand,2000
884,Coco Legrand,2000
885,Coco Legrand,2000
886,Dino Gordillo,2000
887,Dino Gordillo,2000
888,Dino Gordillo,2000
889,Dino Gordillo,2000
890,Dino Gordillo,2000
891,Dino Gordillo,2000
892,Dino Gordillo,2000
893,Dino Gordillo,2000
894,Dino Gordillo,2000
895,Dino Gordillo,2000
896,Dino Gordillo,2000
897,Dino Gordillo,2000
898,Dino Gordillo,2000
899,Dino Gordillo,2000
900,Dino Gordillo,2000
901,Dino Gordillo,2000
902,Dino Gordillo,2000
903,Dino Gordillo,2000
904,Dino Gordillo,2000
905,Dino Gordillo,2000
906,Dino Gordillo,2000
907,Dino Gordillo,2000
908,Dino Gordillo,2000
909,Dino Gordillo,2000
910,Dino Gordillo,2000
911,"Daniel Muñoz ""El Carmelo""",2001
912,"Daniel Muñoz ""El Carmelo""",2001
913,"Daniel Muñoz ""El Carmelo""",2001
914,"Daniel Muñoz ""El Carmelo""",2001
915,"Daniel Muñoz ""El Carmelo""",2001
916,"Daniel Muñoz ""El Carmelo""",2001
917,"Daniel Muñoz ""El Carmelo""",2001
918,"Daniel Muñoz ""El Carmelo""",2001
919,"Daniel Muñoz ""El Carmelo""",2001
920,"Daniel Muñoz ""El Carmelo""",2001
921,"Daniel Muñoz ""El Carmelo""",2001
922,"Daniel Muñoz ""El Carmelo""",2001
923,"Daniel Muñoz ""El Carmelo""",2001
924,"Daniel Muñoz ""El Carmelo""",2001
925,"Daniel Muñoz ""El Carmelo""",2001
926,"Daniel Muñoz ""El Carmelo""",2001
927,"Daniel Muñoz ""El Carmelo""",2001
928,"Daniel Muñoz ""El Carmelo""",2001
929,"Daniel Muñoz ""El Carmelo""",2001
930,"Daniel Muñoz ""El Carmelo""",2001
931,"Daniel Muñoz ""El Carmelo""",2001
932,"Daniel Muñoz ""El Carmelo""",2001
933,"Daniel Muñoz ""El Carmelo""",2001
934,"Daniel Muñoz ""El Carmelo""",2001
935,"Daniel Muñoz ""El Carmelo""",2001
936,"Daniel Muñoz ""El Carmelo""",2001
937,Memo Bunke y Natalia Cuevas,2001
938,Memo Bunke y Natalia Cuevas,2001
939,Memo Bunke y Natalia Cuevas,2001
940,Memo Bunke y Natalia Cuevas,2001
941,Memo Bunke y Natalia Cuevas,2001
942,Memo Bunke y Natalia Cuevas,2001
943,Memo Bunke y Natalia Cuevas,2001
944,Memo Bunke y Natalia Cuevas,2001
945,Memo Bunke y Natalia Cuevas,2001
946,Memo Bunke y Natalia Cuevas,2001
947,Memo Bunke y Natalia Cuevas,2001
948,Millenium Show,2001
949,Millenium Show,2001
950,Millenium Show,2001
951,Millenium Show,2001
952,Millenium Show,2001
953,Millenium Show,2001
954,Millenium Show,2001
955,Millenium Show,2001
956,Millenium Show,2001
957,Millenium Show,2001
958,Millenium Show,2001
959,Millenium Show,2001
960,Millenium Show,2001
961,Millenium Show,2001
962,Millenium Show,2001
