segment_idx,topic_id_matrix,topic_id_assumed,p_topic
12,12,12,0.012593367439400751
12,13,13,0.021324415679575156
12,14,14,0.017498279506746893
12,15,15,0.04139373192373219
12,16,16,0.02476318326564802
12,17,17,0.023903149669537348
12,18,18,0.028799734218668164
12,19,19,0.012054253879818042
12,20,20,0.016829090830596954
12,21,21,0.049412900588178765
12,22,22,0.017029279637884354
12,23,23,0.014820309086330488
12,24,24,0.023770859035511162
12,25,25,0.012875390339805972
12,26,26,0.030136056373232897
12,27,27,0.05554679753711727
12,29,29,0.01400215501722621
12,30,30,0.027618365940339732
12,31,31,0.024935960275537274
12,32,32,0.01996063386927227
12,33,33,0.029284124767312857
12,34,34,0.024619372879327115
12,35,35,0.01465430943892692
12,36,36,0.016112022554775125
12,37,37,0.03960824831263355
13,0,0,1.0
14,0,0,0.01883300450128091
14,1,1,0.010153938463977583
14,6,6,0.020209078545831045
14,7,7,0.018353099656652883
14,8,8,0.05103042354758326
14,9,9,0.010203493851727927
14,10,10,0.012434621483013815
14,11,11,0.012505422718190636
14,12,12,0.13456967483852147
14,13,13,0.023272868577889974
14,15,15,0.010471124088517334
14,16,16,0.011796090490729121
14,17,17,0.011764908533614123
14,19,19,0.02205463140002785
14,20,20,0.04015812611818111
14,22,22,0.013303090544891589
14,24,24,0.012803654105937742
14,25,25,0.07384885462945444
14,26,26,0.010382178372318203
14,28,28,0.011017299471932633
14,29,29,0.08321574608818876
14,31,31,0.010611839783349845
14,32,32,0.014116348184595518
14,33,33,0.011700179068526939
14,34,34,0.013092718786315547
14,35,35,0.06974490096959354
14,36,36,0.0139652568263907
14,37,37,0.012077359249833847
15,1,1,0.014986007847718351
15,2,2,0.011185504395011802
15,4,4,0.010653129507267224
15,5,5,0.010753924300364735
15,6,6,0.01518598442212521
15,8,8,0.013076298590498395
15,10,10,0.02504319343011224
15,11,11,0.02636317149001468
15,12,12,0.010293877118103922
15,13,13,0.024805852985404102
15,14,14,0.01200920846236043
15,15,15,0.011968099817230153
15,16,16,0.019353609789149812
15,17,17,0.056712791758371114
15,18,18,0.013803324277031988
15,19,19,0.012206173756372972
15,20,20,0.01790750531760846
15,21,21,0.012585034912730188
15,22,22,0.018233068021171663
15,24,24,0.013305804848066607
15,25,25,0.010576294776385284
15,26,26,0.01834010044608267
