Topic,Words,Frequency,Timestamp
7,"cinturón, auto, paren, micro, tírate",15,2020
8,"tens, lavar, feria, loza, buenos días",14,2020
9,"mamá, jabón, comió, mamita, juro",41,2020
10,"bailar, va bien, salta, ay amor, música",25,2020
11,"jorge, maña, delincuencia, chicharra, reunión",34,2020
12,"jimmy, marihuana, vino, fumar, droga",27,2020
13,"tele, martín, canal, casting, canal 13",49,2020
14,"loro, cartero, carabineros, violento, paco",23,2020
15,"oh oh, comedy, up comedy, stand, cloro",15,2020
16,"famosa, carrete, cristian, zorrón, pegarle",15,2020
17,"celular, alvarito, whatsapp, pana, alvarito alvarito",19,2020
18,"ciudad, africano, fijamente, buenas noches, hace semana",16,2020
19,"colegio, profe, san antonio, física, cuaderno",34,2020
20,"farmacia, mariposas, paquete, papa papa, atiendan",11,2020
21,"pam, pam pam, parís, echado, mala onda",5,2020
22,"doctor, test, ayudo, embarazo, enfermedades",15,2020
23,"tac, tac tac, hijos, disney, hija",46,2020
24,"bolsa, bolsas, pedir, plásticas, chino",14,2020
25,"saco chucha, límite, espíritu, diosito, saco",2,2020
26,"crisis pánico, pánico, crisis, robot, bono",13,2020
27,"piezas, tonka, espejo, vendedora, manga",15,2020
28,"noticias, terremoto, ta, ta ta, dos dos",20,2020
29,"amiga, niro, robert niro, robert, amigas",26,2020
30,"llené, comentar, foto, john, nadie puede",12,2020
31,"play, papa, niño, niño dice, déjeme",8,2020
